	0
abrir_puerta	88
cerrar_puerta	35
entrar_casa	33
salir_casa	33
volver_casa	29
salir_calle	28
llamar_atención	27
salir_balcón	26
subir_escalera	24
llegar_casa	23
puerta_abrir	21
asomar_ventana	19
bajar_escalera	19
llamar_puerta	19
puerta_casa	18
abrir_ventana	18
ventana_abrir	17
entrar_salir	17
mirar_ventana	16
cerrar_ojo	15
veinte_año	15
salir_correr	15
escuchar_voz	14
haber_vestir	14
fin_semana	14
vivir_casa	14
tender_ropa	14
dejar_caer	13
medio_hora	13
vecino_abajar	13
poder_salir	12
escuchar_músico	12
regresar_casa	12
puerta_entrar	12
poner_pie	12
tocar_timbrar	12
mirar_ojo	12
dejar_pasar	11
salvar_vida	11
ver_salir	11
quedar_mirar	11
diez_minuto	11
llamar_policía	11
prestar_atención	11
restar_vecino	11
vecino_vecino	11
tocar_puerta	11
presidente_comunidad	10
hombre_rata	10
volver_loco	10
hacer_falto	10
par_año	10
vecino_3	10
poder_evitar	10
quedar_dormir	10
salir_aplaudir	10
asomar_balcón	10
dar_vuelta	9
llamar_vecino	9
rayo_sol	9
cuartar_pisar	9
abrir_ojo	9
llegar_puerta	9
ver_pasar	9
cargar_bolsa	9
volver_escuchar	9
tirar_basura	9
vecino_conocer	9
contar_historia	9
interior_casa	9
tomar_mano	9
niño_pequeño	9
dueño_casa	9
mirar_atrás	9
poner_músico	9
tomar_café	9
salir_pasear	9
sonar_timbrar	9
ver_película	9
hacer_año	9
coger_mano	8
poder_dormir	8
ochenta_año	8
guante_mascarilla	8
ver_ver	8
3_pisar	8
golpear_puerta	8
vivir_pisar	8
regar_plantar	8
obtener_respuesta	8
voz_alto	8
ver_vecino	8
acto_seguir	8
poder_creer	8
haber_poder	8
preparar_café	8
hacer_sentir	8
palmar_mano	8
patio_interior	8
ventana_cocinar	8
ojo_verde	8
casa_padre	8
hijo_pequeño	8
poder_encontrar	8
oír_ruido	8
pasar_casa	8
escuchar_grito	8
mano_derecho	8
comprar_pan	8
conocer_vecino	8
meter_casa	8
ojo_cerrar	8
reír_carcajada	8
escuchar_ruido	8
cuarenta_año	8
haber_conocer	7
veinte_minuto	7
volver_entrar	7
guiñar_ojo	7
ventana_ver	7
salir_sol	7
vecino_cuartar	7
llamar_teléfono	7
mirar_soler	7
conciliar_soñar	7
boca_abrir	7
malo_suerte	7
ir_casa	7
vivir_hijo	7
seguir_caminar	7
redar_social	7
querer_salir	7
dejar_salir	7
mirar_fijamente	7
vecino_llamar	7
venir_casa	7
abril_2020	7
hacer_mesar	7
hacerle_comprar	7
tomar_sol	7
amar_casa	7
encerrar_casa	7
vecino_salir	7
uh_uh	7
dar_pasar	7
cruzar_calle	7
hombre_mujer	7
poder_pasar	7
ventana_cerrar	7
calle_vacío	7
cerrar_ventana	7
pedir_ayudar	7
mirar_ver	7
agente_secretar	7
par_semana	7
hablar_vecino	7
ojo_mirar	7
parejo_3	7
leer_libro	7
ver_venir	7
puerta_habitación	7
volver_mirar	7
casa_vecino	7
pasear_perro	7
encontrar_casa	7
treinta_año	7
salir_encontrar	7
compañero_pisar	7
cambiar_vida	7
vecino_edificio	7
pisar_vivir	7
dejar_pensar	7
deber_pensar	7
pagar_alquiler	7
ver_caro	7
llamar_timbrar	7
ir_venir	7
empezar_escuchar	6
mano_izquierdo	6
metro_cuadrar	6
pensar_ir	6
casa_llamar	6
gente_vivir	6
pronunciar_palabra	6
sentar_frente	6
ir_dejar	6
mover_cabeza	6
subir_bajar	6
preguntar_vecino	6
ver_tele	6
mirar_techar	6
vivir_calle	6
mirar_reloj	6
salir_terraza	6
niño_jugar	6
tanto_año	6
asomar_cabeza	6
parejo_joven	6
hijo_puto	6
pasar_semana	6
hermano_pequeño	6
decir_querer	6
ver_ventana	6
puerta_cerrar	6
pasar_año	6
señor_vivir	6
poder_escuchar	6
cruzar_mirar	6
dedo_mano	6
volver_sonar	6
oír_voz	6
anciano_vivir	6
malo_lengua	6
cubo_basura	6
haber_haber	6
dirigir_palabra	6
dormir_siesta	6
ser_querido	6
medio_mañana	6
mañana_noche	6
vivir_familia	6
poder_esperar	6
puerta_principal	6
hijo_vivir	6
llevar_casa	6
decir_voz	6
comunidad_vecino	6
escuchar_vecino	6
e_hijo	6
puerta_puerta	6
decir_encontrar	6
luz_encender	6
escaso_metro	6
cincuenta_año	6
poder_oír	6
centrar_ciudad	6
salir_patio	6
hora_comer	6
doblar_esquinar	6
venir_policía	6
jamás_vestir	6
volver_llamar	6
bolsa_comprar	6
vecino_llevar	6
plantar_bajo	6
alguien_llamar	6
querer_volver	6
mandar_mensaje	6
frente_puerta	6
abrió_puerta	6
correr_escalera	6
ropa_tender	6
banda_sonoro	6
cocinar_abrir	6
mirar_cielo	6
pensar_pensar	6
empezar_salir	6
pasar_noche	6
ir_volver	6
gota_lluvia	5
venir_correr	5
invitar_pasar	5
pequeño_niño	5
poner_caro	5
brazo_cruzar	5
único_personar	5
ver_mujer	5
e_ir	5
echar_mano	5
e_intentar	5
sentar_mesar	5
haber_gustar	5
entrar_edificio	5
seguir_mirar	5
señorito_crowickz	5
pensar_pasar	5
abrir_pasar	5
darle_besar	5
casa_salir	5
salir_boca	5
personar_mayor	5
encoger_hombro	5
pasar_frente	5
haber_saber	5
noche_cenar	5
pequeño_patio	5
reunión_vecino	5
jugar_carta	5
haber_imaginar	5
cantar_canción	5
noche_dormir	5
saber_ir	5
llevar_mesar	5
haber_ir	5
haber_tomar	5
tener_salir	5
año_llevar	5
ropa_interior	5
dejar_puerta	5
ver_llegar	5
mujer_ojo	5
mantener_conversación	5
bajar_volumen	5
color_verde	5
vestir_traer	5
aire_fresco	5
teléfono_móvil	5
ventana_balcón	5
golpe_puerta	5
vecino_pisar	5
metro_distanciar	5
señor_volver	5
hora_cenar	5
puerta_pisar	5
acabar_pasar	5
ventana_patio	5
mirar_abajar	5
ventana_vecino	5
tomar_decisión	5
tipo_raro	5
personar_normal	5
llegar_conclusión	5
semana_ver	5
poner_nervioso	5
frente_casa	5
avanzar_edad	5
quince_minuto	5
hacer_casa	5
semana_salir	5
balcón_balcón	5
quintar_pisar	5
gustar_salir	5
gafo_sol	5
poder_pensar	5
corazón_latir	5
vecino_plantar	5
año_vivir	5
pared_pared	5
llave_casa	5
salir_buscar	5
dirigir_casa	5
abrir_cerrar	5
caer_soler	5
puerta_ascensor	5
ir_pasar	5
decir_madre	5
volver_salir	5
salir_rellanar	5
viejo_barrio	5
dar_portazo	5
situación_complicar	5
dedo_índice	5
barrio_viejo	5
quedar_sentar	5
mañana_despertar	5
par_mesar	5
haber_poner	5
comer_comer	5
edificio_vivir	5
recibir_visitar	5
estar_punto	5
lavar_mano	5
bolsa_basura	5
personar_vivir	5
cruzar_palabra	5
pomo_puerta	5
preguntar_necesitar	5
echar_vistazo	5
pensar_mundo	5
intercambiar_palabra	5
previo_avisar	5
niño_niño	5
casa_tener	5
llevar_semana	5
ojalá_haber	5
compartir_vecino	5
poder_hablar	5
hijo_vecino	5
cierro_ojo	5
sostener_mano	5
entrar_ventana	5
encontrar_palabra	5
querer_tener	5
estrellar_fugaz	5
ser_humano	5
mujer_hijo	5
pasar_puerta	5
rosa_rojo	5
escuchar_gritar	5
habitante_edificio	5
decir_ir	5
perder_vestir	5
poder_dejar	5
vecino_asomar	5
balcón_ventana	5
sentar_silla	5
ideo_ocurrir	5
decir_poder	5
hora_salir	5
vivir_parejo	4
decidir_volver	4
vida_esperar	4
ventana_amarillo	4
año_pasar	4
decir_pasar	4
salir_noche	4
flor_fresco	4
estar_pensar	4
pie_soler	4
aguar_salir	4
puerta_edificio	4
bebé_año	4
encender_luz	4
veinte_metro	4
apartar_vestir	4
hijo_nieto	4
levantar_cama	4
duro_penar	4
setenta_año	4
tener_problema	4
costumbre_tradición	4
mirar_caro	4
parecer_pasar	4
tanto_vida	4
mundo_vivir	4
poder_entrar	4
dolor_cabeza	4
ojo_azular	4
dejar_llave	4
pasar_vida	4
decidir_salir	4
terminar_frase	4
esperar_llegar	4
cometer_error	4
chico_9	4
golpear_techar	4
haber_contar	4
marcar_puerta	4
ver_personar	4
viento_freír	4
presto_atención	4
poder_venir	4
pie_cabeza	4
mirar_sonreír	4
ver_chico	4
llegar_escuchar	4
lunes_viernes	4
dejar_feliz	4
querer_querer	4
dar_volver	4
parecer_haber	4
ir_seguir	4
pequeño_casa	4
alguien_haber	4
medio_volver	4
18_año	4
pensar_vecino	4
seguir_vivo	4
poder_llegar	4
mirar_volver	4
escuchar_sonido	4
volver_dormir	4
ver_entrar	4
vida_muerte	4
marcar_ventana	4
llegar_calle	4
pelar_cortar	4
llegar_punto	4
mirar_instante	4
venir_vivir	4
tarta_queso	4
comenzar_escuchar	4
casa_silenciar	4
preguntar_mujer	4
poder_imaginar	4
fumar_cigarro	4
transportar_público	4
extraño_sensación	4
meter_bañar	4
tocar_quedo	4
familia_soldar	4
ir_salir	4
llegar_soler	4
parejo_vivir	4
estar_hablar	4
preguntar_pasar	4
estar_preguntar	4
resbalar_mano	4
preparar_comer	4
saber_deber	4
ver_sombrar	4
20_año	4
resbalar_caer	4
puerta_apartamento	4
cruzar_umbral	4
preparar_desayunar	4
patio_casa	4
traer_comprar	4
casa_vivir	4
año_salir	4
par_par	4
dirigir_puerta	4
gustar_vivir	4
vaso_vidriar	4
padre_madre	4
dar_clase	4
vendedor_independiente	4
invitar_tomar	4
ventana_pequeño	4
fosar_nasal	4
restar_mundo	4
miedo_miedo	4
hacer_ruido	4
tumbar_cama	4
vestir_poder	4
llegar_esquinar	4
pasados_minuto	4
ay_hijo	4
ave_quetzal	4
poner_pensar	4
semana_venir	4
salir_comprar	4
comer_comenzar	4
jornada_laboral	4
color_azul	4
ventana_suficiente	4
jugar_hijo	4
balcón_aplaudir	4
gato_maullar	4
personar_cruzar	4
salir_bañar	4
don_vecino	4
espacio_común	4
caro_caro	4
ser_hombre	4
mirar_tele	4
preguntar_ir	4
entrar_apartamento	4
jamás_haber	4
entablar_conversación	4
ver_calle	4
leer_periódico	4
silla_rueda	4
captar_atención	4
casa_llevar	4
vivir_edificio	4
entrecerrar_ojo	4
cortina_abrir	4
vestir_camiseta	4
niño_barrio	4
rienda_suelto	4
leer_carta	4
vecino_quintar	4
decir_hacer	4
historia_contar	4
movimiento_cabeza	4
ojo_ver	4
lavar_plato	4
vivir_chico	4
ganar_suficiente	4
encender_cigarrillo	4
tener_suerte	4
haber_sacar	4
papel_higiénico	4
comenzar_llorar	4
color_rojo	4
hijo_adolescente	4
viejo_pensar	4
parar_secar	4
decir_par	4
sentir_feliz	4
mirar_televisión	4
simple_vestir	4
seguir_dormir	4
quedar_vecino	4
saber_nombrar	4
decir_llegar	4
noche_salir	4
poder_parar	4
mirar_mirilla	4
madre_dejar	4
ir_subir	4
humo_salir	4
mirar_despreciar	4
principiar_pensar	4
quedar_rato	4
científico_loco	4
voz_ronco	4
dejar_bolsa	4
fumar_cigarrillo	4
casa_acabar	4
correr_casa	4
número_teléfono	4
volver_pasar	4
buscar_excusar	4
empezar_tocar	4
venir_tintar	4
luz_luna	4
limpiar_casa	4
sentir_olor	4
casa_don	4
recién_llegar	4
asentir_cabeza	4
gato_perro	4
obrar_arte	4
volver_abrir	4
niño_gritar	4
chico_joven	4
patio_luz	4
poner_mano	4
llevar_mes	4
oír_músico	4
vivir_sitiar	4
estar_esperar	4
pensar_decir	4
ser_familia	4
personar_edificio	4
gustar_hablar	4
poner_contento	4
pequeño_pisar	4
mañana_salir	4
gritar_voz	4
único_hijo	4
señor_cuartar	4
ver_obligar	4
puerta_hacer	4
pensar_gente	4
pequeño_sonrisa	4
tender_mano	4
diez_año	4
levantar_cabeza	4
meter_cama	4
barrer_pan	4
borrar_huella	4
comprar_comer	4
ascensor_detener	4
bolsa_plástico	4
descubrir_vecino	4
vecino_tirar	4
casa_escuchar	4
servir_vaso	4
noche_mañana	4
noto_decir	4
canal_televisión	4
estilar_vida	4
empezar_sentir	4
gente_correr	4
pensar_deber	4
viejo_edificio	4
mascarilla_guante	4
apoyar_barandilla	4
demasiar_importancia	4
sentir_miedo	4
portón_abrir	4
tomar_té	4
mirar_hombro	4
medio_doceno	4
dar_pequeño	4
diez_noche	4
barco_papel	4
preguntar_mirar	4
paz_descansar	4
veinticinco_año	4
arrastrar_pie	4
quince_año	4
gustar_pensar	4
llamar_ambulancia	4
guardar_secretar	4
llamar_bombero	4
gente_salir	4
guardar_silenciar	4
10_año	4
preparar_cenar	4
vivir_número	4
comer_preparar	4
gestar_mano	4
vaso_aguar	4
calle_poder	4
hacer_comprar	4
dar_impresión	4
gustar_mirar	4
quedar_casa	4
pelar_rubio	4
formular_preguntar	4
mariela_chismosa	4
golpear_forzar	4
silenciar_escuchar	4
buscar_mirar	4
pobre_hombre	4
salir_puerta	4
pasar_cuarentena	4
haber_encontrar	4
salir_mañana	4
número_casa	4
morir_miedo	4
restar_personar	4
gente_barrio	4
subir_ascensor	4
madre_soltero	4
pisar_abajar	4
puerta_entreabierta	4
mirar_mirar	4
cuartar_bañar	4
escena_crimen	4
8_año	4
año_ver	4
echar_reír	4
tejer_suelto	4
casa_andar	3
vecino_preferir	3
caminar_puerta	3
médico_enfermero	3
dejar_marcar	3
estar_tomar	3
dormir_noche	3
poner_malo	3
toc_toc	3
llegar_oír	3
cabo_minuto	3
golpe_escuchar	3
salir_tender	3
fuerte_olor	3
vecino_frente	3
caminar_casa	3
coche_policía	3
barrer_bar	3
conocer_vivir	3
ventana_cuartar	3
hacer_parecer	3
vivir_historia	3
madre_contar	3
haber_entrar	3
terraza_bar	3
poner_ojo	3
palabra_describir	3
bajar_comprar	3
querer_saber	3
mover_cuerpo	3
vecino_tener	3
importar_mínimo	3
respirar_hondo	3
silenciar_reinar	3
madre_preparar	3
colgar_mano	3
joven_estudiante	3
especialmente_poner	3
compañero_contar	3
e_intuir	3
hacer_ideo	3
gente_humilde	3
volver_sitiar	3
sábado_noche	3
escuchar_risa	3
saber_poder	3
persiano_bajar	3
caer_pesar	3
vecino_familia	3
aprender_vecino	3
esperar_portal	3
oír_hablar	3
comenzar_hablar	3
casa_viejo	3
miedo_entender	3
pared_fondo	3
vestir_contar	3
sentar_cama	3
caro_ver	3
nombre_apellido	3
vivir_comunidad	3
puerta_cuartar	3
escuchar_ventana	3
girar_llave	3
decir_perder	3
reanudar_marchar	3
caro_gente	3
clase_social	3
ja_ja	3
viernes_sábado	3
llevar_mano	3
apagar_luz	3
vacío_vida	3
camión_basura	3
luz_rojo	3
alma_penar	3
esperar_pasar	3
ver_cruzar	3
volver_cerrar	3
abuelo_cuidar	3
quedar_pensar	3
vestir_llevar	3
levantar_vestir	3
plantar_puerta	3
hombre_mirar	3
pasar_departamento	3
viento_fuerte	3
llevar_pelar	3
extrañar_ruido	3
dejar_rastro	3
cabo_rato	3
llegar_niño	3
querer_quedarse	3
volver_salón	3
color_marrón	3
venir_visitar	3
saber_porqué	3
noche_cerrar	3
cuyo_nombrar	3
pelar_negro	3
hacer_favor	3
punta_torrar	3
abrir_boca	3
empezar_perder	3
mirar_cómplice	3
salir_mirar	3
observar_mirilla	3
decir_llamar	3
puerta_mano	3
aceptar_cargar	3
vivir_frente	3
hablar_teléfono	3
ver_televisión	3
pequeño_poblar	3
trabajador_social	3
pasar_chico	3
llevar_poner	3
quedar_atrapar	3
domingo_mañana	3
crudo_realidad	3
ver_pasear	3
arrastrar_mueble	3
perder_oportunidad	3
vida_cotidiano	3
hacer_mano	3
clavar_puerta	3
casa_disponer	3
hijo_mujer	3
regalar_cumpleaños	3
pasar_desapercibido	3
pensar_alguien	3
pedir_auxiliar	3
luz_salir	3
salir_tomar	3
acompañar_vecino	3
tablón_anuncio	3
ulular_viento	3
acercar_ventana	3
esquinar_pasar	3
tachar_basura	3
aporrear_puerta	3
niño_mirar	3
migar_pan	3
maridar_mirar	3
principiar_intentar	3
hacer_correcto	3
colgar_ropa	3
vestir_gordo	3
himno_nacional	3
echar_soler	3
seguir_vida	3
taza_plato	3
edificio_frente	3
llegar_vecindario	3
llevar_año	3
vía_tren	3
niño_año	3
encontrar_tender	3
mangar_largo	3
satisfacer_necesidad	3
poder_distinguir	3
agente_malo	3
vivir_mujer	3
puerta_bañar	3
entrar_departamento	3
montar_bicicleta	3
espaciar_vaciar	3
haber_pensar	3
gustar_vecino	3
mirar_sonrisa	3
temer_conversación	3
ir_hablar	3
acabar_entrar	3
oír_respiración	3
recibir_aplauso	3
atravesar_calle	3
señor_frente	3
distanciar_metro	3
ver_figurar	3
parecer_ocurrir	3
casa_hacer	3
joven_adulto	3
escribir_letra	3
ruido_casa	3
seguir_trabajar	3
salir_dueño	3
abrazar_besar	3
decidir_entrar	3
chico_parecer	3
invitar_cenar	3
tapar_boca	3
ciento_diez	3
mirar_perdido	3
emitir_sonido	3
hijo_señor	3
ver_caminar	3
girar_esquinar	3
haber_esperar	3
oír_paso	3
decir_gracia	3
vestir_blanco	3
tomar_mate	3
casa_mover	3
asomar_escalera	3
