	0
casa	1085
vecino	895
salir	747
ver	668
puerta	642
mirar	622
pasar	598
vivir	541
volver	539
poder	532
decir	482
llegar	446
pensar	439
dejar	433
sentir	432
ventana	426
vida	418
querer	410
hacer	407
mano	407
año	404
llamar	397
haber	387
ir	385
abrir	382
escuchar	382
calle	381
encontrar	371
noche	362
hijo	357
tener	337
pequeño	333
poner	333
entrar	331
pisar	323
parecer	312
mujer	306
estar	300
hablar	300
niño	299
ojo	296
venir	295
esperar	294
vestir	293
seguir	292
personar	282
dar	281
preguntar	279
mañana	275
quedar	274
edificio	274
saber	267
hombre	266
llevar	262
balcón	259
empezar	257
señor	253
soler	239
padre	237
madre	236
comer	222
formar	221
conocer	219
viejo	218
cabeza	218
mundo	217
caer	217
gente	216
semana	216
oír	216
voz	216
gustar	215
tomar	213
luz	202
alguien	200
comenzar	199
contar	196
cerrar	193
recordar	190
comprar	187
acabar	187
palabra	186
barrio	183
dormir	183
deber	181
familia	178
escalera	178
frente	177
subir	177
chico	176
caro	176
ser	174
paso	174
hora	167
mesar	166
buscar	164
bajar	163
caminar	163
sacar	162
correr	161
jugar	161
cambiar	160
gritar	160
cocinar	158
tocar	158
único	158
e	157
pedir	153
tratar	152
pared	152
entender	151
terminar	149
silenciar	149
decidir	149
amor	148
perder	146
creer	146
sentar	143
morir	142
joven	141
habitación	139
par	137
perro	135
ruido	134
ascensor	134
cuerpo	134
acercar	130
amigo	129
seguro	128
leer	128
sol	128
sonrisa	127
pie	126
ayudar	126
abajar	125
punto	125
minuto	124
cuartar	124
ocurrir	123
aparecer	123
músico	122
coser	122
levantar	121
plantar	121
traer	120
asomar	119
maridar	118
observar	118
patio	118
echar	117
gracia	116
nombrar	116
preparar	115
historia	115
saludar	114
miedo	113
don	112
cama	110
aire	109
abuelo	109
anciano	108
escribir	108
sonreír	107
tanto	106
siquiera	105
necesitar	105
descubrir	105
bolsa	104
vecindario	104
parejo	104
regresar	103
compartir	103
situación	102
brazo	101
meter	100
policía	100
alto	100
sonido	99
sonar	98
parar	98
tender	98
tirar	98
coger	98
responder	98
tipo	97
olor	97
olvidar	97
ideo	97
malo	97
cruzar	97
aguar	96
café	96
pasillo	96
imaginar	95
esquinar	95
ciudad	95
justar	95
realidad	94
reír	94
derecho	94
cantar	93
forzar	93
3	93
andar	91
ganar	91
blanco	91
falto	91
ropa	90
librar	90
salón	90
número	90
resultar	90
boca	90
medio	89
negro	89
conversación	88
gato	88
pelar	88
bañar	87
cuidar	87
apartamento	86
rostro	86
corazón	86
rato	86
confinamiento	86
golpe	86
aplaudir	85
marcar	85
noto	84
edad	84
encerrar	84
suerte	83
comunidad	83
llenar	83
acompañar	82
extraño	82
atención	82
llorar	82
mover	82
mantener	82
interior	82
atrás	82
quedo	82
dirigir	82
largo	81
terraza	80
fuerte	80
caja	80
notar	80
cuarentena	79
problema	79
importar	78
dudar	78
temer	78
lleno	77
junto	77
convertir	76
cielo	76
despertar	75
jardín	75
disponer	75
espalda	75
allá	75
carta	74
poblar	74
basura	73
pasear	73
mente	73
extrañar	73
evitar	73
restar	73
encender	72
intentar	72
tarde	72
colgar	72
recibir	72
partir	71
soñar	71
feliz	71
cenar	71
lograr	71
dedo	71
pesar	70
hogar	69
llave	69
preocupar	69
instante	69
muerte	69
espaciar	68
visitar	68
hermano	68
suceder	68
pobre	68
teléfono	67
metro	67
grito	67
silla	67
matar	67
rojo	67
mes	66
repetir	66
sensación	66
permitir	65
pagar	65
portal	65
clase	65
blocar	64
regalar	64
faltar	64
cubrir	64
fondo	64
marchar	64
recoger	64
aplauso	64
abandonar	63
rápido	63
canción	63
desear	63
sombrar	63
color	63
película	63
jamás	63
papel	63
izquierdo	62
detener	62
disfrutar	62
romper	62
techar	62
imagen	62
enterar	62
libro	62
cargar	62
grande	62
risa	61
guardar	61
colocar	61
principiar	61
rellanar	61
loco	61
reunión	60
presentar	60
timbrar	60
noticiar	60
conseguir	60
freír	60
apoyar	60
respuesta	60
distanciar	60
cortar	60
cuadro	60
novio	59
pegar	59
pintar	59
difícil	59
bailar	59
tranquilo	59
preferir	58
mostrar	58
verde	58
televisión	58
muchacho	57
favor	57
colorir	57
alcanzar	57
alma	57
animal	57
verano	57
servir	57
escena	57
razón	56
dedicar	56
girar	56
mandar	56
contestar	56
vacío	56
suficiente	55
respirar	55
hoja	55
amar	55
móvil	55
separar	54
foto	54
desaparecer	54
distinto	54
piso	54
enorme	54
centrar	54
amigar	54
mil	54
capaz	53
alejar	53
bajo	53
viento	53
limpiar	53
dueño	53
trabajar	53
escapar	52
estudiar	52
saltar	52
apagar	52
suponer	52
dulce	52
virus	52
costar	52
domingo	52
triste	52
costumbre	51
vivienda	51
encantar	51
departamento	51
ofrecer	51
golpear	51
sorpresa	51
compañero	51
agradecer	51
invitar	50
alegría	50
abrazar	50
común	50
cansar	50
flor	50
mudar	50
diez	50
contrario	49
penar	49
sitiar	49
recorrer	49
mensaje	49
fiesta	49
grupo	49
volar	49
oscuro	49
diario	49
humo	48
hermoso	48
sorprender	48
segundo	48
seriar	48
lanzar	48
desconocer	48
normal	48
raro	48
fumar	48
aprender	48
esconder	48
movimiento	47
ocupar	47
rápidamente	47
tono	47
bonito	47
anunciar	47
obrar	47
completar	47
piel	47
familiar	46
cuyo	46
dinero	46
encargar	46
recuerdo	46
cortina	46
inquilino	46
tío	46
continuar	46
vaso	46
país	46
imposible	46
esposo	46
momento	46
perfecto	45
sofá	45
reconocer	45
pan	45
descansar	45
nieto	45
mamá	45
dolor	44
durar	44
pensamiento	44
respetar	44
hospital	44
vender	44
destinar	44
vaciar	44
besar	44
humanar	43
veinte	43
desayunar	43
acaso	43
charlar	43
mayoría	43
cristal	43
esperanzar	43
pierna	43
avisar	43
despedir	43
fuego	43
lluvia	43
oscuridad	43
viajar	43
tele	42
árbol	42
aprovechar	42
comprender	42
culpar	42
realmente	42
labio	42
habitual	42
rutina	42
bar	42
iniciar	42
altura	41
aforar	41
especial	41
especie	41
rodear	41
coche	40
barrer	40
tierra	40
proponer	40
calor	40
sangrar	40
seguramente	40
causar	39
fijar	39
explicar	39
acostumbrar	39
molestar	39
orden	39
contener	39
pantalón	39
cariño	39
necesidad	39
frase	39
importante	39
cumpleaños	39
azotea	39
madrugar	39
oler	38
gris	38
mayor	38
esforzar	38
azul	38
salar	38
quitar	38
sábado	38
simplemente	38
futuro	38
crecer	38
cerveza	38
relación	37
beber	37
agarrar	37
mejorar	37
envolver	37
soledad	37
hombro	37
maderar	37
amarillo	37
lento	37
plato	37
comentar	37
zona	37
soltar	37
armar	37
avanzar	37
mirilla	37
gestar	37
botella	36
ay	36
quintar	36
cualquiera	36
unir	36
convencer	36
persiano	36
aceptar	36
cercano	36
curioso	36
principal	36
tapar	36
social	36
mitad	36
simple	36
devolver	36
fin	36
alegrar	36
enviar	36
lágrima	36
necesario	36
cigarrillo	36
parque	36
paz	36
robar	35
galleta	35
arreglar	35
tardar	35
soportar	35
darle	35
nube	35
interrumpir	35
asunto	35
volumen	35
real	35
fácil	35
clavar	35
presenciar	35
listo	35
animar	35
parir	34
cumplir	34
entregar	34
acordar	34
carcajada	34
mar	34
huir	34
ajeno	34
enseñar	34
existir	34
suave	34
completamente	34
camisa	34
médico	34
supermercado	34
divertir	34
melodía	34
pandemia	34
estrellar	34
ocasión	34
papá	33
compañía	33
recién	33
pendiente	33
invadir	33
vivo	33
agente	33
ocasionar	33
hermanar	33
asentir	33
nariz	33
reloj	33
permanecer	33
mascarilla	33
obligar	32
soldar	32
sábana	32
pleno	32
aburrir	32
zapato	32
fresco	32
memoria	32
televisor	32
agradable	32
pelear	32
cuello	32
montar	32
corto	32
dibujar	32
guante	32
figurar	32
palmar	32
crear	32
habitar	31
desgraciar	31
existencia	31
gafo	31
finalmente	31
utilizar	31
treinta	31
joder	31
adentrar	31
campar	31
favorito	31
citar	31
provocar	31
llover	31
tiempo	31
nervioso	31
rotar	31
personal	31
atrever	31
pintura	30
reflejar	30
intención	30
elegir	30
gordo	30
personaje	30
mezclar	30
época	30
manchar	30
acto	30
querido	30
probar	30
producir	30
secar	30
arrastrar	30
solitario	30
sospechar	30
natural	30
habitante	30
relatar	30
bolsillo	30
alzar	30
horario	30
diferenciar	30
considerar	30
felicidad	29
cuerdo	29
oportunidad	29
salvar	29
indicar	29
quemar	29
pastar	29
perfectamente	29
amable	29
auto	29
amenazar	29
portero	29
viernes	29
comprobar	29
6	29
actividad	29
seguridad	29
sufrir	29
felpudo	29
rubio	29
exterior	29
decirle	29
maldito	29
calcetín	29
duro	29
plaza	29
sostener	29
sentimiento	28
aguantar	28
recuperar	28
luchar	28
fantasma	28
letra	28
cabo	28
plástico	28
vergüenza	28
hallar	28
atravesar	28
atender	28
velar	28
sueño	28
cuadrar	28
amanecer	28
gota	28
siesta	28
medir	28
apartar	28
tonto	27
aspecto	27
chocolate	27
negar	27
insistir	27
ambulancia	27
mierda	27
presidente	27
calmo	27
odiar	27
plan	27
doblar	27
tejer	27
jueves	27
señalar	27
brillar	27
escoba	27
profundar	27
funcionar	27
firmar	27
lunes	26
construir	26
santo	26
salud	26
ah	26
belleza	26
polvo	26
puto	26
calentar	26
desesperar	26
garganta	26
antiguo	26
fruto	26
nuevamente	26
guerra	26
camiseta	26
morar	26
complicar	26
cuestión	26
puro	26
molesto	26
espejar	26
invisible	26
domiciliar	26
llanto	26
mueble	26
tranquilidad	26
mínimo	26
acariciar	26
distinguir	25
respiración	25
verlo	25
usar	25
humano	25
superior	25
rincón	25
posibilidad	25
enfermedad	25
jubilar	25
absurdo	25
aromar	25
inundar	25
banco	25
disculpar	25
oreja	25
novelar	25
chino	25
bello	25
contemplar	25
prender	25
secretar	25
tamaño	25
alquiler	25
libertar	25
pechar	25
acerar	25
líneo	25
acostar	25
asustar	25
enfadar	25
dirección	25
semejante	25
nacer	25
fuerza	25
estirar	24
rata	24
alentar	24
rezar	24
fachado	24
oficina	24
bombero	24
escritor	24
azúcar	24
pieza	24
vuelta	24
iluminar	24
periódico	24
significar	24
motivar	24
princesa	24
asombrar	24
sillón	24
portón	24
suelto	24
cartel	24
eterno	24
acudir	24
prisa	24
programar	24
no	24
camión	24
colegiar	24
luna	24
empujar	24
cuarenta	24
duchar	23
lavar	23
percatar	23
radiar	23
alarmar	23
tornar	23
punta	23
opción	23
paloma	23
trabajador	23
reunir	23
temor	23
matrimoniar	23
imaginación	23
curiosidad	23
diminuto	23
helar	23
inmediato	23
referir	23
atar	23
equivocar	23
público	23
circunstancia	23
lentamente	23
sanitario	23
leche	23
merecer	23
explicación	23
lejano	23
arte	23
quedarme	23
mejilla	23
colar	23
10	23
bolso	23
conversar	23
página	23
envidiar	22
orar	22
hueso	22
viudo	22
ritual	22
hambre	22
señal	22
sudor	22
tendedero	22
emitir	22
disimular	22
próximo	22
caber	22
oficial	22
montón	22
surgir	22
lector	22
valer	22
energía	22
prometer	22
agitar	22
esposar	22
tumbar	22
menor	22
comedor	22
quiero	22
profesional	22
apreciar	22
maleta	22
gastar	22
asegurar	22
profesor	22
pijama	22
pájaro	22
contactar	22
jefe	22
absoluto	22
impedir	22
primavera	22
mascota	22
hueco	22
herir	22
batir	22
terrible	22
dañar	21
pañuelo	21
primero	21
intercambiar	21
carrera	21
infinito	21
diente	21
cigarro	21
taza	21
poseer	21
cantidad	21
suspirar	21
ordenador	21
sujetar	21
paciencia	21
obtener	21
ley	21
coincidir	21
ala	21
cadáver	21
deslizar	21
adulto	21
